True Accent,Predicted Accent
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,SCOTTISH ENGLISH
ENGLAND ENGLISH,AUSTRALIAN ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,HONG KONG ENGLISH
ENGLAND ENGLISH,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,CANADIAN ENGLISH
ENGLAND ENGLISH,AUSTRALIAN ENGLISH
ENGLAND ENGLISH,UNITED STATES ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA
ENGLAND ENGLISH,CANADIAN ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
ENGLAND ENGLISH,ENGLAND ENGLISH
